Line Item,DoDI 8500.2 Security Control Acronym,NIST SP 800-53 Rev 4 Security Control Acronym
1,COAS-1 ,CP-2; CP-2(3); CP-7
2,COAS-2 ,CP-2; CP-2(4); CP-7
3,COBR-1,"CP-6, CP-9; CP-9(5)"
4,CODB-1,CP-9; CP-10; CP-10(6)
5,CODB-2,CP-9; CP-10; CP-10(6)
6,CODB-3,CP-9: CP-9(6)
7,CODP-1,CP-2; CP-2(1)(3)
8,CODP-2,CP-2; CP-2(1)(4)
9,CODP-3,CP-2; CP-2(1)(5)(6)
10,COEB-1,CP-6; CP-7; CP-7(5)
11,COEB-2,CP-6; CP-7; CP-7(5)
12,COED-1,CP-4; CP-4(1)
13,COED-2 ,CP-4; CP-4(1)
14,COEF-1,CP-2; 
15,COEF-2,CP-2
16,COMS-1,MA-6
17,COMS-2,MA-6
18,COPS-1,PE-11; PE-11(1)(2)
19,COPS-2,PE-11; PE-11(1)(2)
20,COPS-3,PE-11; PE-11(1)(2)
21,COSP-1,MA-6
22,COSP-2,MA-6
23,COSW-1,CP-9; CP-9(3)
24,COTR-1,CP-10; CP-10(3)
25,DCAR-1,CA-1; CA-2: CA-(2)
26,DCAS-1 ,SA-4; SA-4(6)(7)
27,DCBP-1,SA-8
28,DCCB-1 ,CM-1; CM-3
29,DCCB-2 ,CM-1; CM-3; CM-3(4)
30,DCCS-1,CM-6
31,DCCS-2,CM-6
32,DCCT-1,CM-4; CM-6; CM-6(4); SI-2
33,DCDS-1,SA-9; SA-9(1)
34,DCFA-1 ,PL-2; PL-2(2)
35,DCHW-1 ,CM-2; CM-8; CP-9; CP-9(3)
36,DCID-1 ,CA-3; 
37,DCII-1,CM-4; CM-4(2)
38,DCIT-1,PS-7; SA-9
39,DCMC-1 ,SC-18; SC-18(1)(2)(3)(4)(5)
40,DCNR-1,AU-10; AU-10(5); SC-13; SC-13(4)
41,DCPA-1,SC-2; 
42,DCPB-1,SA-2
43,DCPD-1,SA-6; SA-6(1)
44,DCPP-1,CM-7; CM-7(3)
45,DCPR-1,CM-1; CM-3; CM-9
46,DCSD-1,PL-1; PL-2; PM-10
47,DCSL-1,CM-5; CM-5(6)
48,DCSP-1,SC-3
49,DCSQ-1 ,SA-4; SA-4(3); SA-11; SA-11(1) 
50,DCSR-1,SA-4; SA-4(7)
51,DCSR-2,SA-4; SA-4(6)(7); SC-12; SC-12(2)(3)
52,DCSR-3,SA-4; SA-4(6)(7); SC-12; SC-12(2)(3)
53,DCSS-1 ,CM-6; SC-24; SI-6
54,DCSS-2 ,CP-4; CP-4(4); SC-7; SC-7(18); SC-24; SI-6
55,DCSW-1,CM-2; CM-8; CP-9; CP-9(3)
56,EBBD-1,AC-4; SC-7; SC-7(2)
57,EBBD-2 ,AC-4; SC-7; SC-7(8)(13)
58,EBBD-3 ,AC-4; CA-3; CA-3(1)(2)(4)(5); SC-7
59,EBCR-1,CA-3
60,EBPW-1,SC-7
61,EBRP-1,AC-17; AC-17(2)(3)(4)(7); MA-4; MA-4(1)(6)
62,EBRU-1 ,AC-17; AC-17(2)(3); IA-2; IA-2(2)
63,EBVC-1,SI-4; SI-4(10)
64,ECAD-1,AC-16; IA-4; IA-4(4)
65,ECAN-1 ,AC-2; AC-2(7); AC-3; AC-3(4)(7); AC-6
66,ECAR-1,AU-2; AU-3; AU-8
67,ECAR-2,AU-2; AU-3; AU-8
68,ECAR-3,AU-2; AU-3; AU-8
69,ECAT-1,AU-6; AU-6(1)(3)
70,ECAT-2,"AC-17; AC-17(9); AU-6; AU-6(5); CM-8; CM-8(3); IR-4; IR-4(5), SI-4"
71,ECCD-1,AC-3; AC-6; SC-28
72,ECCD-2,AC-3; AC-3(3)(4); AC-6; CM-3; CM-3(1)
73,ECCM-1,SC-1
74,ECCR-1,MP-4; MP-4(1); SC-13; SC-13(1); SC-28; SC-28(1)
75,ECCR-2,AC-3; AC-3(6); SC-13; SC-28; SC-28(1)
76,ECCR-3,SC-13; SC-28; SC-28(1)
77,ECCT-1,AC-17; AC-17(2); AC-18; AC-18(1); SC-8; SC-13
78,ECCT-2,SC-8; SC-13
79,ECDC-1,CP-10; CP-10(2)
80,ECIC-1 ,AC-3; AC-3(4); AC-4; AC-4(14)(15)
81,ECID-1 ,SC-7; SC-7(12); SI-4; SI-4(1)
82,ECIM-1,SC-7; SC-7(19); SC-15; SC-15(2)
83,ECLC-1 ,"AC-4; AC-16, AU-3"
84,ECLO-1 ,AC-7; AC-10
85,ECLO-2,AC-7; AC-9; AC-9(1); AC-9(2);AC-10
86,ECLP-1,AC-5; AC-6; AC-6(2)
87,ECML-1,AC-16; AC-16(1); AC-16(5); MP-3
88,ECMT-1,CA-2; CA-2(2); RA-5
89,ECMT-2,CA-2; CA-2(2); CA-7; RA-5
90,ECND-1,CP-10
91,ECND-2,AU-2; AU-2(3); CP-10
92,ECNK-1,SC-8; SC-13; SC-13(3)
93,ECNK-2,SC-8; SC-13; SC-13(2)
94,ECPA-1,AC-2; AC-2(7)
95,ECPC-1,CM-5; CM-5(5)
96,ECPC-2,CM-5; CM-5(5)
97,ECRC-1,SC-4
98,ECRG-1,AU-7
99,ECRR-1,AU-11
100,ECSC-1,CM-6
101,ECSD-1,CM-5; SA-10
102,ECSD-2,CM-5; SA-10; SI-7
103,ECTB-1,AU-9; AU-9(2)
104,ECTC-1,PE-19; PE-19(1)
105,ECTM-1,"SC-8; SC-8(2); SC-16; SC-16(1); SI-7, SI-7(1)(12)"
106,ECTM-2,"SC-8; SC-8(2); SC-16; SC-16(1);  SC-23; SI-7, SI-7(1)(12)"
107,ECTP-1,AU-9
108,ECVI-1 ,SC-19
109,ECVP-1,SI-3
110,ECWM-1,AC-8
111,ECWN-1,AC-18; AC-18(1)(3)(4); AC-19
112,IAAC-1,AC-2; PS-4; PS-5
113,IAGA-1,IA-2; IA-2(5)
114,IAIA-1 ,IA-2; IA-4; IA-4(2); IA-5; IA-5(1)(3)(5)(6)(7)
115,IAIA-2,IA-2; IA-4; IA-4(2)(3); IA-5; IA-5(1)(3)(4)(5)(6)(7)
116,IAKM-1,SC-12; SC-12-(2)(4)
117,IAKM-2,SC-12; SC-12-(2)(5)
118,IAKM-3,SC-12; SC-12(3)
119,IATS-1,IA-5; IA-5(2); SC-12; SC-12-(4)(5)
120,IATS-2,IA-5; IA-5(2); SC-12; SC-12-(4)(5)
121,PECF-1,PE-2; PE-2(1); PE-3; PE-7
122,PECF-2,PE-2; PE-2(3); PE-3; PE-7
123,PECS-1,MP-6; MP-6(1)(4)
124,PECS-2,MA-2; MP-6; MP-6(1)(5)
125,PEDD-1,MP-6
126,PEDI-1,PE-5
127,PEEL-1,PE-12
128,PEEL-2,PE-12; PE-12(1)
129,PEFD-1,PE-13
130,PEFD-2,PE-13; PE-13(1)(2)
131,PEFI-1,PE-13; PE-13(4)
132,PEFS-1,PE-13
133,PEFS-2,PE-13; PE-13(1)(2)
134,PEHC-1,PE-14; PE-14(1)(2)
135,PEHC-2,PE-14; PE-14(1)
136,PEMS-1,PE-10
137,PEPF-1,PE-3; PE-3(3)
138,PEPF-2 ,PE-2; PE-2(2); PE-3; PE-3(3); PE-8
139,PEPS-1,PE-3; PE-3(6)
140,PESL-1,AC-11; AC-11(1)
141,PESP-1,MP-1; MP-2; SI-12
142,PESS-1,MP-4
143,PETC-1,PE-14; PE-14(2)
144,PETC-2,PE-14; PE-14(1)
145,PETN-1,AT-3; AT-3(1)
146,PEVC-1,PE-3; PE-7; PE-8
147,PEVR-1,PE-9; PE-9(2)
148,PRAS-1,PS-1; PS-6
149,PRAS-2,PS-1; PS-6; PS-6(2)
150,PRMP-1,MA-5
151,PRMP-2,MA-5; MA-5(1)(2)(3)
152,PRNK-1,PS-6; PS-6(1)(2)
153,PRRB-1,PL-4; PS-8
154,PRTN-1 ,AT-2; AT-3; CM-9; CM-9(1); CP-3; IR-2
155,VIIR-1 ,IR-2; IR-3; IR-4; IR-5; IR-6; IR-7; IR-7(2); IR-8
156,VIIR-2 ,IR-2; IR-3; IR-4; IR-5; IR-6; IR-7; IR-7(2); IR-8
157,VIVM-1,CA-8;  RA-5; SI-2; SI-2(1)(2)
